kernel,num_bin,n_side,n_sub,n_cp,ms,us_per_bin,ratio,mm,dh_rel
fresnel,1024,10,,,78.76530298381113,76.91924119512805,1.0,0.0038781895494777174,0.0
fft,1024,10,24,48,248.94711398519576,243.11241600116773,3.160619010585951,0.004654498847182498,0.004603091564077565
fft,1024,10,24,0,382.42469797842205,373.4616191195528,4.855243152648355,0.004654498651957106,0.004603088880037063
fft,1024,10,32,48,313.36462098988704,306.02013768543657,3.9784601736921377,0.004404067625268682,0.004306228681397065
fft,1024,10,32,0,492.93313798261806,481.38001756115045,6.258252292686948,0.0044040674278639225,0.004306227108241013
fft,1024,10,64,48,579.2210100044031,565.6455175824249,7.353758419788623,0.004386453740941154,0.003918164703438965
fft,1024,10,64,0,945.1324339897837,922.9808925681482,11.999349944531284,0.004386453545368485,0.003918162893400109
fresnel,4096,10,,,311.69865099946037,76.09830346666513,1.0,0.0038781895494777174,0.0
fft,4096,10,24,48,987.6034409971908,241.11412133720478,3.168455935983183,0.004654498847182498,0.004603091564077565
fft,4096,10,24,0,1491.136139986338,364.0469091763521,4.783903091030444,0.004654498651957106,0.004603088880037063
fft,4096,10,32,48,1229.5026969804894,300.1715568800023,3.9445236385787825,0.004404067625268682,0.004306228681397065
fft,4096,10,32,0,1920.933277986478,468.9778510709175,6.162789835076327,0.0044040674278639225,0.004306227108241013
fft,4096,10,64,48,2213.086566014681,540.304337405928,7.100083875622909,0.004386453740941154,0.003918164703438965
fft,4096,10,64,0,3676.6030809958465,897.6081740712516,11.795376942462967,0.004386453545368485,0.003918162893400109
fresnel,16384,10,,,1243.501891993219,75.89733227497675,1.0,0.0038781895494777174,0.0
fft,16384,10,24,48,3955.601684981957,241.43076690563703,3.181017825908967,0.004654498847182498,0.004603091564077565
fft,16384,10,24,0,5921.91922001075,361.44526489323425,4.762292086679867,0.004654498651957106,0.004603088880037063
fft,16384,10,32,48,4924.0503610053565,300.54018316683084,3.9598253872477485,0.004404067625268682,0.004306228681397065
fft,16384,10,32,0,7620.4884860198945,465.1177054455502,6.12824840483753,0.0044040674278639225,0.004306227108241013
fft,16384,10,64,48,8809.447456005728,537.6860019534746,7.084386049373029,0.004386453740941154,0.003918164703438965
fft,16384,10,64,0,14580.654035002226,889.9324972535538,11.72547796580412,0.004386453545368485,0.003918162893400109
